# Relative Gibbs free energy dG (kcal/mol) of the imidazopyridine dimer (IPD) as a
# function of the bridging C-C torsion, per tautomer, plus the population-weighted
# average. Same relaxed scan as torsional_scans.csv (B3LYP/6-31G(d), Gaussian 16,
# opt+freq at every 15 deg, gas phase, 298 K, methyl side chains).
# Reference state: T_a at phi = 0 deg = 0.0 kcal/mol.
# Source: "Dihedral Scan Input for HIPO model.xlsx", sheet "Dimer P(phi,T)", cols K-O.
# Used for manuscript Figure 1c and SI Figure S1.
phi_deg,Ta,Tb,Tc,Td,avg
-180,0.641935569,16.1268271,12.6159478,0.208330996,7.39826037
-165,1.07554014,12.5964952,9.4972579,0.618090455,5.94684593
-150,2.2175956,10.7346938,7.58588377,1.70178814,5.55999033
-135,4.24192028,9.85744463,6.97783336,3.67214756,6.18733646
-120,8.18452163,9.91893992,6.89751298,6.13635184,7.78433159
-105,10.3537995,12.0982578,9.41819253,10.2038263,10.518519
-90,11.0183252,12.661128,9.29833945,11.1155881,11.0233452
-75,9.85995464,12.4239319,7.85947507,10.8947071,10.2595172
-60,7.45724565,9.94215753,3.49581921,8.73233175,7.40688854
-45,3.51652681,9.87689722,2.16927787,8.83461474,6.09932916
-30,1.59260261,9.98859275,0.983924704,9.61962099,5.54618527
-15,0.392816878,12.0304875,0.741708546,11.2197536,6.09619165
0,0,12.4948397,2.06511237,14.0817948,7.16043673
15,0.392816878,12.0304875,0.741708546,11.2197536,6.09619165
30,1.59260261,9.98859275,0.983924704,9.61962099,5.54618527
45,3.51652681,9.87689722,2.16927787,8.83461474,6.09932916
60,7.45724565,9.94215753,3.49581921,8.73233175,7.40688854
75,9.85995464,12.4239319,7.85947507,10.8947071,10.2595172
90,11.0183252,12.661128,9.29833945,11.1155881,11.0233452
105,10.3537995,12.0982578,9.41819253,10.2038263,10.518519
120,8.18452163,9.91893992,6.89751298,6.13635184,7.78433159
135,4.24192028,9.85744463,6.97783336,3.67214756,6.18733646
150,2.2175956,10.7346938,7.58588377,1.70178814,5.55999033
165,1.07554014,12.5964952,9.4972579,0.618090455,5.94684593
180,0.641935569,16.1268271,12.6159478,0.208330996,7.39826037
