# Relative Boltzmann weights P(phi|T) for the imidazopyridine dimer (IPD).
# Source: relaxed torsional scans, B3LYP/6-31G(d), Gaussian16, opt+freq at each
# 15-degree step through 360 degrees. Methyl side chains. Values are unnormalised;
# build_model() interpolates onto a 1-degree grid and normalises each column.
phi_deg,Ta,Tb,Tc,Td
-180,0.337991667,1.46247e-12,5.51567e-10,0.70325558
-165,0.162442177,5.69999e-10,1.07225e-07,0.35188851
-150,0.023582201,1.3249e-08,2.7101e-06,0.056378998
-135,0.00077091,5.83401e-08,7.57204e-06,0.002019016
-120,9.85523e-07,5.25821e-08,8.67275e-06,3.13868e-05
-105,2.52179e-08,1.32286e-09,1.22552e-07,3.24915e-08
-90,8.20422e-09,5.11025e-10,1.50063e-07,6.96081e-09
-75,5.80932e-08,7.62978e-10,1.7069e-06,1.01101e-08
-60,3.36813e-06,5.05591e-08,0.002719824,3.90524e-07
-45,0.0026263,5.64536e-08,0.025588394,3.28538e-07
-30,0.067802355,4.67436e-08,0.189640966,8.71962e-08
-15,0.514903052,1.48336e-09,0.28555259,5.83736e-09
0,1,6.76823e-10,0.030513107,4.63302e-11
15,0.514903052,1.48336e-09,0.28555259,5.83736e-09
30,0.067802355,4.67436e-08,0.189640966,8.71962e-08
45,0.0026263,5.64536e-08,0.025588394,3.28538e-07
60,3.36813e-06,5.05591e-08,0.002719824,3.90524e-07
75,5.80932e-08,7.62978e-10,1.7069e-06,1.01101e-08
90,8.20422e-09,5.11025e-10,1.50063e-07,6.96081e-09
105,2.52179e-08,1.32286e-09,1.22552e-07,3.24915e-08
120,9.85523e-07,5.25821e-08,8.67275e-06,3.13868e-05
135,0.00077091,5.83401e-08,7.57204e-06,0.002019016
150,0.023582201,1.3249e-08,2.7101e-06,0.056378998
165,0.162442177,5.69999e-10,1.07225e-07,0.35188851
180,0.337991667,1.46247e-12,5.51567e-10,0.70325558
